EX00C,1
KONKA_58M2800A_DD,1
ZTE BV0710T,1
SM-G5700,1
LED65K600X3D,1
IP706H(13U1),1
VOTO GT07,1
vivo X6S,1
YPPL-RK3368,1
MG101-U3,1
X10(M1D5),1
10MOONS_T2(H5),1
GN3003L,1
lephone T25,1
xiaomi_pub,1
TanMax-M2,1
Can,1
DA222HQL,1
LE50AL88G31M1I1,1
DOOV L5,1
2017.07.01_22:26_1.txt,1
GT-S7278,1
AOSP on SS6B5H_AF008_B,1
SM-C900Y,1
AFTN,1
WEPAD6-M3,1
CEA3,1
F8332,1
F5180,1
BF T26,1
DF-M16,1
M77T,1
B860AV2,1
LC-921W,1
IP706H(88T1),1
Lenovo A320t,1
UOOGOU F5,1
ISEEMINI v2.0,1
E.T_A1,1
Lenovo A806,1
HaTVBox,1
FD3951B-DH,1
V812 Core4,1
KBE_SA12_1440X900_SAW007,1
HX_31xx,1
HUAWEI M2-801L,1
T9510E,1
8S61,1
2018.02.28_16:13_1.txt,1
MG100-U5,1
LS7,1
1703-M01,1
TS15,1
8H66,1
BF_T15,1
2017.07.11_21:23_1.txt,1
CX_A19G,1
Percee TV,1
Skyworth 8H80,1
8H20_U3B,1
10MOONS_OVERSEA_D6U,1
Lenovo A5860,1
AnBo,1
Coolpad 8675-HD,1
NX512J,1
LenovoTV 49K3,1
inphic_i10,1
G86_Q,1
AIOT_H_PJ_C00,1
CX-818,1
CM101S_SINGE,1
woniu,1
??E900???,1
K01E,1
KOXSNI-K62,1
TCL_MSD338_512M_PB752,1
CM,1
M301H_CW0_AH,1
tvpad3s,1
B860AV1.1-T,1
Hisense E621T,1
ROWA_S620,1
ATH-TL00H,1
Coolpad 7270_W00,1
MBX reference board (timehold01),1
Readboy_G200,1
Coolpad 8029,1
T960_CTV_1G,1
V919 Air DualOS,1
K00F,1
KONKA E1,1
LS48AL88G51,1
KKTV_K55J1_3_HSV310_lango,1
x-apple,1
X805,1
TAB 7,1
YQ601,1
vivo X6Plus L,1
LY_20Q3O,1
T1-701ua,1
2013023,1
OPPO A30,1
GT-S7568I,1
K01Q,1
LE32AL88U51R1S1,1
C800i,1
LenovoTV 43E8,1
6200series,1
Fiberhome_HG680V_5_LN,1
LED48K20JD0022,1
7PO,1
CT2200,1
GN9011,1
lephone T2V,1
Skyworth 8R93,1
PIC-TL00,1
Lenovo A850+,1
Lenovo A380t,1
aniu,1
MiniPad,1
CM820,1
ktvmebox,1
????HG680-V,1
kbe_3128m1_pub,1
R4S,1
??GALAXY Tab T118,1
ivvi SS1-01,1
ZTE Q801L,1
PROJECTOR S++_4.42.xx_2017.09.03_20:17_1.txt,1
OWWO 7S,1
2018.02.25_15:56_1.txt,1
virtual machine,1
pivos,1
C901,1
LED32EC310JD,1
STREAM_H910,1
MOOKA_T962,1
KORIDY,1
Suma-Q7(M),1
B860AV1.1_2_SH,1
20435,1
K-Touch L810,1
Full AOSP on ADA,1
E910(???),1
CVTM638_768_PC757,1
HX S905 Series,1
ET66,1
H3_OVERSEAS,1
GT-I9100G,1
D6563,1
F80,1
MBX FEEL board,1
XMATE_A88,1
CSA96Q4,1
LA-S11,1
HUAWEI G660-L075,1
Lingwin 6 2G,1
X4-43N,1
H10,1
10MOONS_TM7,1
Skyworth 8S64 A2,1
SAMSUNG-SGH-I337,1
k62v1_64_bsp,1
X89HD (H21C),1
H903,1
VAT_3128H,1
YNH8,1
ZTE A2017,1
SB882,1
GIONEE GN5006,1
NG2,1
IS-E5-NGH,1
E6683,1
MZ606,1
dostyle DP101,1
STW_2901,1
LE32E5900,1
hongx-A20TV,1
KJD_SA15_1280X800_SAW007,1
42S290,1
HRA962_1G_ALI4GS_R1310,1
LED-42B700S,1
Coolpad 7320,1
EGREAT_A10_CN,1
Coolpad 5952,1
Mytel,1
??HG680-V  526885318@qq.com???,1
LED42EC310JD1000,1
EC6108V9_4G,1
8H35 X6,1
20151209T,1
ZIDOO_X8,1
Z999,1
BFTV,1
ASUS_X00KD,1
XF-3188,1
XM50t,1
FD6552A-SU,1
LED55K370,1
10MOONS-T216G,1
D6D_Duo,1
ET_32,1
8H71,1
B760HS1,1
R2-R10,1
HOKFA F500,1
CVTE_RISONG_MSD628VX_1G_1920X1080_AA0001_PB803,1
